"device","datetime","led","bits","tempC","rh","sys_tempC","sample_rate","volts","sd_roll6","mean_roll6","sd_diff","volts_loess","volts_smoothed","mg_m3"
"epsilon",2017-02-02 12:01:19,"ir",538,20.8,56.6,36.5,0.1,0.44301264,0.00122474487139159,0.4355,2.44948974278318,0.444078285136027,0.444078285136027,0.0739936142746238
"epsilon",2017-02-02 12:01:29,"ir",538,20.8,56.6,35.9,0.1,0.44301264,0.00136626010212795,0.435333333333333,0,0.443984550036421,0.443984550036421,0.0701378366543466
"epsilon",2017-02-02 12:01:39,"ir",539,20.8,56.6,36.5,0.1,0.44301264,0.00147196014438798,0.435166666666667,0,0.443866593485208,0.443866593485208,0.065285713679696
"epsilon",2017-02-02 12:01:49,"ir",540,20.8,56.6,36.5,0.1,0.44401264,0.00147196014438798,0.435166666666667,-0.679366220486757,0.443846487825136,0.443846487825136,0.0644586707206081
"epsilon",2017-02-02 12:01:59,"ir",540,20.8,56.6,35.9,0.1,0.44401264,0.00147196014438798,0.435166666666667,0,0.443967100524046,0.443967100524046,0.0694200538858425
"epsilon",2017-02-02 12:02:09,"ir",538,20.8,56.7,35.4,0.1,0.44301264,0.00116904519445001,0.434833333333333,0.855398922768302,0.444084974429645,0.444084974429645,0.0742687772470561
"epsilon",2017-02-02 12:02:19,"ir",541,20.8,56.7,36.5,0.1,0.44501264,0.000516397779494323,0.434333333333333,-3.87298334620742,0.44406221992338,0.44406221992338,0.0733327744435606
"epsilon",2017-02-02 12:02:29,"ir",542,20.8,56.7,35.9,0.1,0.44601264,0.000816496580927727,0.434666666666667,-1.22474487139159,0.443934251236237,0.443934251236237,0.068068803934576
"epsilon",2017-02-02 12:02:39,"ir",541,20.8,56.7,35.9,0.1,0.44501264,0.00116904519445001,0.435166666666667,0.855398922768302,0.443752639602204,0.443752639602204,0.0605982397912612
"epsilon",2017-02-02 12:02:49,"ir",537,20.8,56.7,36.5,0.1,0.44201264,0.00104880884817015,0.4355,2.86038776773678,0.443488971605291,0.443488971605291,0.0497523009065688
"epsilon",2017-02-02 12:02:59,"ir",537,20.8,56.7,35.4,0.1,0.44201264,0.00147196014438798,0.435166666666667,0,0.443151982618162,0.443151982618162,0.0358903153716561
"epsilon",2017-02-02 12:03:09,"blue",460,20.8,56.7,39.2,0.0048,0.369779456,0.000408248290463863,0.370833333333333,0,0.369436322956772,0.369436322956772,-0.121834801929207
"epsilon",2017-02-02 12:03:09,"ir",538,20.8,56.7,39.2,0.1,0.44301264,0.00172240142436851,0.434833333333333,-0.580584749787138,0.442886086090298,0.442886086090298,0.024952706239592
"epsilon",2017-02-02 12:03:19,"ir",538,20.8,56.7,37.6,0.1,0.44301264,0.00172240142436851,0.434833333333333,0,0.442872662422338,0.442872662422338,0.0244005259066995
"epsilon",2017-02-02 12:03:29,"ir",536,20.8,56.7,36.5,0.1,0.44101264,0.0016431676725155,0.4345,1.21716123890037,0.443082917391198,0.443082917391198,0.0330493288299429
"epsilon",2017-02-02 12:03:39,"ir",537,20.8,56.7,35.4,0.1,0.44201264,0.00136626010212795,0.433666666666667,-0.7319250547114,0.443264483944507,0.443264483944507,0.0405180385852155
"epsilon",2017-02-02 12:03:49,"ir",541,20.8,56.7,36.5,0.1,0.44501264,0.000752772652709082,0.433166666666667,-3.98526698493043,0.443280586922084,0.443280586922084,0.0411804318703588
"epsilon",2017-02-02 12:03:59,"ir",542,20.8,56.7,35.9,0.1,0.44601264,0.00136626010212795,0.433666666666667,-0.7319250547114,0.443262576079677,0.443262576079677,0.0404395588850193
"epsilon",2017-02-02 12:04:09,"ir",541,20.8,56.7,36.5,0.1,0.44501264,0.00186189867250253,0.434333333333333,0.537086155529575,0.443356940551917,0.443356940551917,0.0443212256431629
"epsilon",2017-02-02 12:04:19,"ir",536,20.8,56.7,36.5,0.1,0.44101264,0.00196638416050035,0.434666666666667,2.03419051086243,0.443474724967634,0.443474724967634,0.049166267853078
"epsilon",2017-02-02 12:04:29,"ir",536,20.8,56.8,35.9,0.1,0.44101264,0.00225092573548455,0.434333333333333,0,0.443441188338096,0.443441188338096,0.0477867442148892
"epsilon",2017-02-02 12:04:39,"ir",538,20.8,56.7,35.9,0.1,0.44301264,0.00225092573548455,0.434333333333333,-0.888523316638638,0.443320776994991,0.443320776994991,0.0428336437869667
"epsilon",2017-02-02 12:04:49,"ir",541,20.8,56.7,36.5,0.1,0.44501264,0.00216794833886788,0.4345,-0.922531208028885,0.443332794444418,0.443332794444418,0.043327979556036
"epsilon",2017-02-02 12:04:59,"ir",540,20.8,56.7,36.5,0.1,0.44401264,0.00216794833886788,0.4345,0.461265604014442,0.443519052279355,0.443519052279355,0.0509896643952104
"epsilon",2017-02-02 12:05:09,"ir",539,20.8,56.7,36.5,0.1,0.44301264,0.00183484785926972,0.434166666666667,0.54500431463457,0.443663662112188,0.443663662112188,0.0569381656445209
"epsilon",2017-02-02 12:05:19,"ir",540,20.8,56.8,35.9,0.1,0.44401264,0.00160208197875972,0.433833333333333,-0.624187783932359,0.443575920605604,0.443575920605604,0.0533289334691744
"epsilon",2017-02-02 12:05:29,"ir",541,20.8,56.8,35.9,0.1,0.44501264,0.00136626010212795,0.434333333333333,-0.7319250547114,0.443309837324946,0.443309837324946,0.0423836422921973
"epsilon",2017-02-02 12:05:39,"ir",540,20.8,56.8,35.9,0.1,0.44401264,0.000894427190999917,0.435,1.11803398874989,0.442977875345814,0.442977875345814,0.028728441889168
"epsilon",2017-02-02 12:05:49,"ir",536,20.8,56.8,36.5,0.1,0.44101264,0.000752772652709082,0.435166666666667,3.98526698493043,0.442653748039335,0.442653748039335,0.0153955194332873
"epsilon",2017-02-02 12:05:59,"ir",536,20.8,56.8,35.9,0.1,0.44101264,0.00137840487520902,0.4345,0,0.442362230942795,0.442362230942795,0.00340401250055677
"epsilon",2017-02-02 12:06:09,"ir",538,20.8,56.8,35.4,0.1,0.44301264,0.00167332005306815,0.434,-1.19522860933439,0.442148645830116,0.442148645830116,-0.00538177533080741
"epsilon",2017-02-02 12:06:19,"ir",536,20.8,56.8,39.7,0.1,0.44101264,0.00167332005306815,0.434,1.19522860933439,0.442112429433724,0.442112429433724,-0.00687153072962587
"epsilon",2017-02-02 12:06:29,"ir",536,20.8,56.8,40.8,0.1,0.44101264,0.0017606816861659,0.4335,0,0.442243809652897,0.442243809652897,-0.00146722742208993
"epsilon",2017-02-02 12:06:39,"blue",459,20.8,56.8,40.8,0.0048,0.368779456,0.000408248290463863,0.370833333333333,2.44948974278318,0.369021135015211,0.369021135015211,-0.147265432117834
"epsilon",2017-02-02 12:06:39,"ir",538,20.8,56.8,40.8,0.1,0.44301264,0.00132916013582513,0.432833333333333,-1.50470958772656,0.442406438286921,0.442406438286921,0.00522247419579713
"epsilon",2017-02-02 12:06:49,"ir",539,20.8,56.8,37.6,0.1,0.44301264,0.00103279555898865,0.432666666666667,0,0.442496955908798,0.442496955908798,0.00894590140863727
"epsilon",2017-02-02 12:06:59,"ir",540,20.8,56.8,37,0.1,0.44401264,0.00109544511501033,0.433,-0.912870929175277,0.442602776500432,0.442602776500432,0.0132988137190075
"epsilon",2017-02-02 12:07:09,"ir",538,20.8,56.8,37.6,0.1,0.44301264,0.00122474487139159,0.4335,0.816496580927726,0.442790995239708,0.442790995239708,0.0210411600296787
"epsilon",2017-02-02 12:07:19,"ir",537,20.8,56.8,36.5,0.1,0.44201264,0.00122474487139159,0.4335,0.816496580927726,0.442966906469746,0.442966906469746,0.0282772390095651
"epsilon",2017-02-02 12:07:29,"ir",536,20.8,56.8,36.5,0.1,0.44101264,0.00103279555898865,0.433666666666667,0.968245836551854,0.44305692954679,0.44305692954679,0.0319803232035802
"epsilon",2017-02-02 12:07:39,"ir",540,20.8,56.8,35.4,0.1,0.44401264,0.00103279555898865,0.433666666666667,-2.90473750965556,0.443136523816271,0.443136523816271,0.0352544201454634
"epsilon",2017-02-02 12:07:49,"ir",540,20.8,56.8,36.5,0.1,0.44401264,0.00116904519445001,0.433833333333333,0,0.443305377219557,0.443305377219557,0.0422001766041902
"epsilon",2017-02-02 12:07:59,"ir",540,20.8,56.8,36.5,0.1,0.44401264,0.00126491106406735,0.434,0,0.443545040123763,0.443545040123763,0.0520586700215802
"epsilon",2017-02-02 12:08:09,"ir",538,20.8,56.8,36.5,0.1,0.44301264,0.00126491106406735,0.434,0.790569415042095,0.443692492857088,0.443692492857088,0.0581241135063912
"epsilon",2017-02-02 12:08:19,"ir",540,20.8,56.8,36.5,0.1,0.44401264,0.00126491106406735,0.434,-0.790569415042095,0.443636867158497,0.443636867158497,0.0558359597129936
"epsilon",2017-02-02 12:08:29,"ir",541,20.8,56.8,36.5,0.1,0.44501264,0.001211060141639,0.434333333333333,-0.82572282384477,0.443470722285139,0.443470722285139,0.0490016181791226
"epsilon",2017-02-02 12:08:39,"ir",540,20.8,56.8,36.5,0.1,0.44401264,0.000632455532033676,0.435,1.58113883008419,0.44334900863064,0.44334900863064,0.0439949473901642
"epsilon",2017-02-02 12:08:49,"ir",537,20.8,56.8,36.5,0.1,0.44201264,0.000632455532033676,0.435,3.16227766016838,0.443309209009673,0.443309209009673,0.0423577966486981
"epsilon",2017-02-02 12:08:59,"ir",536,20.8,56.8,35.9,0.1,0.44101264,0.00103279555898865,0.434666666666667,0.968245836551854,0.44323909520935,0.44323909520935,0.0394736772175186
"epsilon",2017-02-02 12:09:09,"ir",540,20.8,56.8,35.9,0.1,0.44401264,0.00147196014438798,0.434166666666667,-2.03809866146027,0.443101565107786,0.443101565107786,0.0338163995280141
"epsilon",2017-02-02 12:09:19,"ir",539,20.8,56.9,35.4,0.1,0.44301264,0.00150554530541816,0.434333333333333,0.664211164155072,0.442977979452995,0.442977979452995,0.0287327243206335
"epsilon",2017-02-02 12:09:29,"ir",541,20.8,56.9,36.5,0.1,0.44501264,0.00147196014438798,0.434166666666667,-1.35873244097351,0.442958398601138,0.442958398601138,0.0279272692595605
"epsilon",2017-02-02 12:09:39,"ir",537,20.8,56.9,36.5,0.1,0.44201264,0.00147196014438798,0.434166666666667,2.03809866146027,0.4429986464431,0.4429986464431,0.0295828574965569
"epsilon",2017-02-02 12:09:49,"ir",538,20.8,56.9,39.7,0.1,0.44301264,0.00147196014438798,0.433833333333333,-0.679366220486757,0.442975025143817,0.442975025143817,0.0286111993074698
"epsilon",2017-02-02 12:09:59,"blue",459,20.8,56.9,40.8,0.005,0.368779456,0.000516397779494323,0.370666666666667,0,0.368711293882291,0.368711293882291,-0.166243476708694
"epsilon",2017-02-02 12:09:59,"ir",537,20.8,56.9,40.8,0.1,0.44201264,0.0014142135623731,0.434,0.707106781186547,0.442908241487312,0.442908241487312,0.0258640647844111
"epsilon",2017-02-02 12:10:09,"ir",539,20.8,56.9,37.6,0.1,0.44301264,0.00116904519445001,0.434166666666667,-0.855398922768302,0.442914123671647,0.442914123671647,0.0261060274516822
"epsilon",2017-02-02 12:10:19,"ir",538,20.8,56.9,37,0.1,0.44301264,0.00109544511501033,0.434,0,0.443038814597202,0.443038814597202,0.0312351677867788
"epsilon",2017-02-02 12:10:29,"ir",537,20.8,56.9,36.5,0.1,0.44201264,0.00109544511501033,0.434,0.912870929175277,0.443245999243941,0.443245999243941,0.0397576735239156
"epsilon",2017-02-02 12:10:39,"ir",540,20.8,56.9,36.5,0.1,0.44401264,0.000547722557505167,0.4335,-3.65148371670111,0.44347257387207,0.44347257387207,0.0490777828973634
"epsilon",2017-02-02 12:10:49,"ir",540,20.8,56.9,36.5,0.1,0.44401264,0.000752772652709082,0.433833333333333,0,0.443693004898588,0.443693004898588,0.0581451762477343
"epsilon",2017-02-02 12:10:59,"ir",541,20.8,56.9,36.5,0.1,0.44501264,0.000894427190999917,0.434,-1.11803398874989,0.443872994378545,0.443872994378545,0.0655490133548362
"epsilon",2017-02-02 12:11:09,"ir",538,20.8,56.9,36.5,0.1,0.44301264,0.00104880884817015,0.4345,1.90692517849118,0.443973963538911,0.443973963538911,0.0697023628526807
"epsilon",2017-02-02 12:11:19,"ir",541,20.7,56.9,35.4,0.1,0.44496931,0.00104880884817015,0.4345,-1.90692517849118,0.443966152250801,0.443966152250801,0.0693810468247698
"epsilon",2017-02-02 12:11:29,"ir",540,20.8,56.9,35.9,0.1,0.44401264,0.00116904519445001,0.434833333333333,0.855398922768302,0.443884507434114,0.443884507434114,0.0660226009670559
"epsilon",2017-02-02 12:11:39,"ir",540,20.8,57,36.5,0.1,0.44401264,0.000752772652709082,0.435166666666667,0,0.443806382711579,0.443806382711579,0.0628089535926435
