"device","led","datetime","bits","tempC","rh","sys_tempC"
"alpha","ir",2017-02-02 10:09:11,564,20.4,54.9,38.6
"alpha","ir",2017-02-02 10:09:21,567,20.4,54.9,39.2
"alpha","ir",2017-02-02 10:09:31,567,20.4,54.9,39.2
"alpha","ir",2017-02-02 10:09:41,568,20.4,54.9,38.6
"alpha","ir",2017-02-02 10:09:51,564,20.4,54.9,42.9
"alpha","ir",2017-02-02 10:10:01,564,20.4,54.9,43.5
"alpha","blue",2017-02-02 10:10:01,456,20.4,54.9,43.5
"alpha","ir",2017-02-02 10:10:11,567,20.4,54.9,40.2
"alpha","ir",2017-02-02 10:10:21,566,20.4,54.9,39.7
"alpha","ir",2017-02-02 10:10:31,565,20.4,54.9,40.2
"alpha","ir",2017-02-02 10:10:41,565,20.4,55,39.7
"alpha","ir",2017-02-02 10:10:51,567,20.4,55,39.7
"alpha","ir",2017-02-02 10:11:01,566,20.4,55,38.6
"alpha","ir",2017-02-02 10:11:11,566,20.4,55,38.6
"alpha","ir",2017-02-02 10:11:21,563,20.4,55,39.2
"alpha","ir",2017-02-02 10:11:31,566,20.4,55.1,38.6
"alpha","ir",2017-02-02 10:11:41,563,20.4,55.1,38.6
"alpha","ir",2017-02-02 10:11:51,564,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:12:01,563,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:12:11,564,20.4,55.1,38.6
"alpha","ir",2017-02-02 10:12:21,567,20.4,55.2,38.6
"alpha","ir",2017-02-02 10:12:31,568,20.4,55.2,39.2
"alpha","ir",2017-02-02 10:12:41,565,20.4,55.2,39.7
"alpha","ir",2017-02-02 10:12:51,563,20.4,55.2,39.2
"alpha","ir",2017-02-02 10:13:01,566,20.4,55.2,39.2
"alpha","ir",2017-02-02 10:13:11,564,20.4,55.2,41.9
"alpha","blue",2017-02-02 10:13:11,455,20.4,55.2,41.9
"alpha","ir",2017-02-02 10:13:21,564,20.4,55.2,39.7
"alpha","ir",2017-02-02 10:13:31,565,20.4,55.2,39.7
"alpha","ir",2017-02-02 10:13:41,564,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:13:51,567,20.4,55.2,39.2
"alpha","ir",2017-02-02 10:14:01,564,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:14:11,564,20.4,55.2,39.7
"alpha","ir",2017-02-02 10:14:21,565,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:14:31,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:14:41,566,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:14:51,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:15:01,564,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:15:11,565,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:15:21,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:15:31,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:15:41,567,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:15:51,564,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:16:01,564,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:16:11,566,20.5,55.2,38.6
"alpha","ir",2017-02-02 10:16:21,564,20.5,55.2,42.9
"alpha","ir",2017-02-02 10:16:31,564,20.5,55.2,43.5
"alpha","ir",2017-02-02 10:16:41,565,20.5,55.2,43.5
"alpha","blue",2017-02-02 10:16:41,455,20.5,55.2,43.5
"alpha","ir",2017-02-02 10:16:51,567,20.5,55.2,40.2
"alpha","ir",2017-02-02 10:17:01,567,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:17:11,567,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:17:21,564,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:17:31,564,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:17:41,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:17:51,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:18:01,564,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:18:11,563,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:18:21,567,20.5,55.2,38.6
"alpha","ir",2017-02-02 10:18:31,567,20.5,55.2,38.6
"alpha","ir",2017-02-02 10:18:41,564,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:18:51,563,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:19:01,564,20.5,55.2,38.6
"alpha","ir",2017-02-02 10:19:11,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:19:21,567,20.5,55.2,39.2
"alpha","ir",2017-02-02 10:19:31,565,20.5,55.2,39.7
"alpha","ir",2017-02-02 10:19:41,564,20.5,55.3,38.6
"alpha","ir",2017-02-02 10:19:51,564,20.5,55.3,41.9
"alpha","ir",2017-02-02 10:20:01,564,20.5,55.3,43.5
"alpha","blue",2017-02-02 10:20:01,456,20.5,55.3,43.5
"alpha","ir",2017-02-02 10:20:11,565,20.5,55.3,40.8
"alpha","ir",2017-02-02 10:20:21,565,20.5,55.3,39.7
"alpha","ir",2017-02-02 10:20:31,564,20.5,55.4,39.7
"alpha","ir",2017-02-02 10:20:41,566,20.5,55.4,39.7
"alpha","ir",2017-02-02 10:20:51,567,20.5,55.4,39.7
"alpha","ir",2017-02-02 10:21:01,564,20.5,55.4,39.7
"alpha","ir",2017-02-02 10:21:11,564,20.5,55.4,38.6
"alpha","ir",2017-02-02 10:21:21,566,20.5,55.5,38.6
"alpha","ir",2017-02-02 10:21:31,564,20.5,55.5,38.6
"alpha","ir",2017-02-02 10:21:41,564,20.5,55.5,39.7
"alpha","ir",2017-02-02 10:21:51,564,20.5,55.5,39.7
"alpha","ir",2017-02-02 10:22:01,564,20.5,55.5,38.6
"alpha","ir",2017-02-02 10:22:11,565,20.5,55.6,39.7
"alpha","ir",2017-02-02 10:22:21,566,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:22:31,567,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:22:41,564,20.5,55.6,38.6
"alpha","ir",2017-02-02 10:22:51,567,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:23:01,565,20.5,55.6,38.6
"alpha","ir",2017-02-02 10:23:11,564,20.5,55.6,42.4
"alpha","blue",2017-02-02 10:23:11,455,20.5,55.6,42.4
"alpha","ir",2017-02-02 10:23:21,563,20.5,55.6,39.7
"alpha","ir",2017-02-02 10:23:31,565,20.5,55.6,38.6
"alpha","ir",2017-02-02 10:23:41,567,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:23:51,567,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:24:01,564,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:24:11,565,20.5,55.6,39.7
"alpha","ir",2017-02-02 10:24:21,567,20.5,55.6,38.6
"alpha","ir",2017-02-02 10:24:31,567,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:24:41,564,20.5,55.6,39.2
"alpha","ir",2017-02-02 10:24:51,564,20.6,55.6,39.2
"alpha","ir",2017-02-02 10:25:01,564,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:25:11,567,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:25:21,567,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:25:31,564,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:25:41,564,20.6,55.5,38.6
"alpha","ir",2017-02-02 10:25:51,567,20.6,55.5,38.6
"alpha","ir",2017-02-02 10:26:01,567,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:26:11,567,20.6,55.5,38.6
"alpha","ir",2017-02-02 10:26:21,565,20.6,55.5,42.9
"alpha","ir",2017-02-02 10:26:31,566,20.6,55.5,44
"alpha","ir",2017-02-02 10:26:41,565,20.6,55.5,44
"alpha","blue",2017-02-02 10:26:41,455,20.6,55.5,44
"alpha","ir",2017-02-02 10:26:51,564,20.6,55.4,41.3
"alpha","ir",2017-02-02 10:27:01,564,20.6,55.4,40.8
"alpha","ir",2017-02-02 10:27:11,564,20.5,55.5,39.7
"alpha","ir",2017-02-02 10:27:21,567,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:27:31,566,20.6,55.5,38.6
"alpha","ir",2017-02-02 10:27:41,567,20.5,55.5,39.2
"alpha","ir",2017-02-02 10:27:51,565,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:28:01,564,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:28:11,567,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:28:21,567,20.5,55.5,39.2
"alpha","ir",2017-02-02 10:28:31,564,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:28:41,564,20.5,55.5,39.2
"alpha","ir",2017-02-02 10:28:51,567,20.5,55.5,39.2
"alpha","ir",2017-02-02 10:29:01,566,20.5,55.5,39.7
"alpha","ir",2017-02-02 10:29:11,567,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:29:21,564,20.5,55.5,39.7
"alpha","ir",2017-02-02 10:29:31,564,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:29:41,568,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:29:51,564,20.5,55.5,42.9
"alpha","ir",2017-02-02 10:30:01,563,20.5,55.5,43.5
"alpha","blue",2017-02-02 10:30:01,455,20.5,55.5,43.5
"alpha","ir",2017-02-02 10:30:11,564,20.6,55.5,40.2
"alpha","ir",2017-02-02 10:30:21,567,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:30:31,566,20.6,55.6,39.7
"alpha","ir",2017-02-02 10:30:41,567,20.6,55.7,39.7
"alpha","ir",2017-02-02 10:30:51,564,20.6,55.7,39.7
"alpha","ir",2017-02-02 10:31:01,565,20.6,55.6,39.2
"alpha","ir",2017-02-02 10:31:11,568,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:31:21,567,20.6,55.6,39.2
"alpha","ir",2017-02-02 10:31:31,565,20.6,55.6,39.7
"alpha","ir",2017-02-02 10:31:41,564,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:31:51,567,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:32:01,567,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:32:11,568,20.6,55.6,39.2
"alpha","ir",2017-02-02 10:32:21,564,20.6,55.6,39.2
"alpha","ir",2017-02-02 10:32:31,564,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:32:41,567,20.6,55.6,38.6
"alpha","ir",2017-02-02 10:32:51,567,20.6,55.5,38.6
"alpha","ir",2017-02-02 10:33:01,564,20.6,55.5,38.6
"alpha","ir",2017-02-02 10:33:11,564,20.6,55.5,42.9
"alpha","blue",2017-02-02 10:33:11,456,20.6,55.5,42.9
"alpha","ir",2017-02-02 10:33:21,568,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:33:31,568,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:33:41,567,20.6,55.5,39.2
"alpha","ir",2017-02-02 10:33:51,564,20.6,55.5,39.7
"alpha","ir",2017-02-02 10:34:01,564,20.6,55.5,38.6
