"datetime","pm_dtX","sample_dtX","pm_dtY","sample_dtY"
2017-02-02 13:04:29,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:30,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:31,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:32,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:33,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:34,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:35,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:36,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:37,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:38,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:39,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:40,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:41,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:42,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:43,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:44,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:45,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:46,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:47,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:48,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:49,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:50,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:51,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:52,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:53,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:54,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:55,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:56,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:57,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:58,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:59,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:00,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:01,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:02,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:03,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:04,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:05,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:06,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:07,0.002,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:08,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:09,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:10,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:11,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:12,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:13,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:14,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:15,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:16,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:17,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:18,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:19,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:20,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:21,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:22,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:23,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:24,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:25,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:26,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:27,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:28,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:29,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:30,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:05:31,0,"MANUAL_028",0,"MANUAL_005"
